,Unnamed: 0,Text,cleaned_text,len
410,411,"In other words, the universe is expanding.",words universe expanding ,41
411,412,"Rewind the clock and this means that, at the start of time, now called the Big Bang, the universe would have been incredibly small, hot and dense.Around 400,000 years after the Big Bang it had expanded and cooled enough for light to travel through space unimpeded.",rewind clock means start time called big bang universe would incredibly small hot dense around years big bang expanded cooled enough light travel space unimpeded ,252
414,416,"But Martin Rees, Britain’s Astronomer Royal, sees something new in this year’s awards in physics.",martin rees britain astronomer royal sees something new year awards physics ,95
438,440,"It is not that HIF-1 alpha is being oxidised, and thus destroyed.",hif alpha oxidised thus destroyed ,62
440,442,"These include the healing of wounds, the growth of blood vessels (one reason for the link with tumours, since these need extra blood vessels in order to grow), and the likelihood of heart attacks and strokes.",include healing wounds growth blood vessels one reason link tumours since need extra blood vessels order grow likelihood heart attacks strokes ,203
442,444,"TEN years ago, on June 26th 2000, a race ended.",ten years ago june th race ended ,38
443,445,"The result was declared a dead heat and both runners won the prize of shaking the hand of America's then president, Bill Clinton, at the White House.",result declared dead heat runners prize shaking hand america president bill clinton white house ,147
454,456,And the money certainly did not materialise.,money certainly materialise ,44
456,458,"The casual observer, then, might be forgiven for thinking the whole thing a damp squib, and the $3 billion spent on the project to be so much wasted money.",casual observer might forgiven thinking whole thing damp squib billion spent project much wasted money ,149
479,481,Yet it now looks tractable in a way that 20 years ago it did not.,yet looks tractable way years ago ,62
496,498,Nor is that the end of the story.,end story ,33
524,526,"When atoms were first proved to exist (and that was a mere century ago), they were thought to be made only of electrons and protons.",atoms first proved exist mere century ago thought made electrons protons ,129
527,529,Suddenly everything made sense—so much sense that it took only another 13 years to build an atomic bomb.It is probably no exaggeration to say that biology is now undergoing its “neutron moment”.,suddenly everything made sense much sense took another years build atomic bomb probably exaggeration say biology undergoing neutron moment ,189
530,532,The analogy is not perfect.,analogy perfect ,27
538,540,"It is a feeling of advancing into the unknown, and that where this advance will lead is both exciting and mysterious.As Samuel Goldwyn so wisely advised, never make predictions—especially about the future.",feeling advancing unknown advance lead exciting mysterious samuel goldwyn wisely advised never make predictions especially future ,203
539,541,"But here is one: the analogy between 20th-century physics and 21st-century biology will continue, for both good and ill. Physics gave two things to the 20th century.",one analogy th century physics st century biology continue good ill physics gave two things th century ,156
546,548,And it is not merely that such things are now possible.,merely things possible ,55
560,562,But physics gave the 20th century a more subtle boon than mere power.,physics gave th century subtle boon mere power ,67
561,563,It also brought an understanding of the vastness of the universe and humanity's insignificant place in it.,also brought understanding vastness universe humanity insignificant place ,106
562,564,"It allowed people, in William Blake's phrase, to hold infinity in the palm of a hand, and eternity in an hour.Biology, though, does more than describe humanity's place in the universe.",allowed people william blake phrase hold infinity palm hand eternity hour biology though describe humanity place universe ,179
574,576,"Lord Rutherford, who proved that atoms exist, knew nothing of neutrons.",lord rutherford proved atoms exist knew nothing neutrons ,69
575,577,"Chadwick knew nothing of quarks, let alone supersymmetry.",chadwick knew nothing quarks let alone supersymmetry ,56
577,579,"But eventually, the truth will out.",eventually truth ,34
578,580,Big is beautiful.,big beautiful ,17
595,597,"The junk was, well, junk.How wrong they were.",junk well junk wrong ,43
616,618,This ended up doing about a third of the work.,ended third work ,46
631,633,"In a deal brokered by Ari Patrinos, head of the DoE’s side of the project, Dr Collins and Dr Venter shook hands under the benign gaze of Bill Clinton at the White House on June 26th 2000, and the race was declared a dead heat.",deal brokered ari patrinos head doe side project dr collins dr venter shook hands benign gaze bill clinton white house june th race declared dead heat ,216
632,634,"Both sides, it was agreed, had finished a working draft.",sides agreed finished working draft ,54
634,636,"Champagne corks popped and everyone celebrated.You can, though, celebrate finishing something only once.",champagne corks popped everyone celebrated though celebrate finishing something ,102
636,638,"And, in truth, even then it wasn’t.",truth even ,33
645,647,But the captains and the kings departed long ago.,captains kings departed long ago ,49
647,649,"In 2007, and again in 2019, the former made some appalling public remarks about genetics, intelligence and black people, and is pretty much shunned as a result.",former made appalling public remarks genetics intelligence black people pretty much shunned result ,146
679,681,And one other thing.,one thing ,20
684,686,That has not happened so far.,happened far ,29
686,688,"When somebody actually tried to do this, though, in 2018 in China, the roof fell in on him.",somebody actually tried though china roof fell ,83
690,692,The hope is thereby to ask questions the answers to which relate more to Africa than to the rest of the world.,hope thereby ask questions answers relate africa rest world ,110
691,694,It touches everything.,touches everything ,22
692,695,"And with that, the ambitions for their subject of those biological prophets of the 1980s are being fulfilled in a manner they could scarcely have dreamed of.",ambitions subject biological prophets fulfilled manner could scarcely dreamed ,152
693,696,■Curious about the world?,curious world ,25
758,762,Three-quarters of the cost of developing a successful drug goes to paying for all the failed hypotheses and blind alleys pursued along the way.,three quarters cost developing successful drug goes paying failed hypotheses blind alleys pursued along way ,143
763,767,That has made drug companies sit up.,made drug companies sit ,36
804,808,"To avoid this, biologists need an ever broader set of skills.",avoid biologists need ever broader set skills ,60
810,814,But the marriage will experience some turbulent times before achieving the full flowering of its promise.,marriage experience turbulent times achieving full flowering promise ,105
814,818,"But because such ideas are confined to the realm of the invisibly tiny or the inhumanly vast, most people regard them as little more than diverting curiosities.Biology has mind-bending ideas, too.",ideas confined realm invisibly tiny inhumanly vast people regard little diverting curiosities biology mind bending ideas ,194
822,826,"But it is right to wonder what might have happened if they had—and what should be done if, or when, someone decides to try.",right wonder might happened done someone decides try ,121
825,829,"Mindful of such worries, many places, including America and Britain, tightly regulate what is allowed.",mindful worries many places including america britain tightly regulate allowed ,99
845,849,It is a way of growing order and surprise in a universe that in all other respects tends towards entropic stagnation.,way growing order surprise universe respects tends towards entropic stagnation ,117
854,858,"Even so, there are already 32 startups around the world that began life as iGEM teams.",even already startups around world began life igem teams ,82
870,874,"But if you could synthesise genes that provided new, simpler ways of doing things, you would be liberated from having to understand the old ones.",could synthesise genes provided new simpler ways things would liberated understand old ones ,143
889,893,"Scientists playing God is always good copy, even if the creations were, as yet, mostly microbes.",scientists playing god always good copy even creations yet mostly microbes ,93
890,894,Rarely has science offered such a heady scent of Goddishness—with forbidden-fruit undertones of Frankenstein and Faust—and raised so many ethical dilemmas.,rarely science offered heady scent goddishness forbidden fruit undertones frankenstein faust raised many ethical dilemmas ,155
898,902,"Worse, the oil price fell steeply.",worse oil price fell steeply ,33
903,907,It seems an auspicious omen.,seems auspicious omen ,28
922,926,It was ten in 1970.,ten ,14
928,932,The mistake was rushing into a bulk market with low margins: petrol.,mistake rushing bulk market low margins petrol ,67
933,937,And no one knows how long it will take the projects to pay off.,one knows long take projects pay ,63
934,938,As the gnomic aphorism at the end of Mr Endy’s emails has it: “Our victory inevitable.,gnomic aphorism end mr endy emails victory inevitable ,84
962,966,They remain imperfect.,remain imperfect ,22
1006,1011,They would not try to manufacture or sell things.,would try manufacture sell things ,49
1016,1021,Replacing one strain of industrial yeast with a better one can be done in a week.,replacing one strain industrial yeast better one done week ,81
1027,1032,"Arzeda talks of making tulipin, which among other things can greatly improve the qualities of perspex.",arzeda talks making tulipin among things greatly improve qualities perspex ,101
1036,1041,That has not sated its appetite.,sated appetite ,32
1056,1061,In part this may be true.,part may true ,25
1060,1065,"There are things going on in a lab that experimenters do not notice, but the creatures they experiment on do.",things going lab experimenters notice creatures experiment ,108
1075,1080,"A couple of blocks away from Zymergen a startup called Bolt Threads supplies the rag trade, and its own clothing subsidiary, with threads made of proteins from spider silk, and leather from fungal mycelia.",couple blocks away zymergen startup called bolt threads supplies rag trade clothing subsidiary threads made proteins spider silk leather fungal mycelia ,202
1076,1081,"As well as being able to explore new physical properties for such materials and, in principle, make them more cheaply, it is also able to offer them to people who object to having silk worms boiled and cattle skinned for their finery.",well able explore new physical properties materials principle make cheaply also able offer people object silk worms boiled cattle skinned finery ,231
1077,1082,"Stella McCartney, a designer, is working with the firm to turn its materials into vegan-friendly fashions.Many companies are developing products that seek to mimic the taste or texture of meat.",stella mccartney designer working firm turn materials vegan friendly fashions many companies developing products seek mimic taste texture meat ,191
1084,1089,To earn money they will have to make a lot of hamburgers.,earn money make lot hamburgers ,57
1138,1143,You could put everything that happened in a century into a single warehouse and expect it to last fundamentally uncorrupted for thousands of years.,could put everything happened century single warehouse expect last fundamentally uncorrupted thousands years ,147
1150,1155,One is that those who created the modern world of computers did not have powerful computers to help them in their task.,one created modern world computers powerful computers help task ,119
1155,1160,But it is evolution that is guided with machine learning and directed by human creativity to write songs that humans want.People have imagined such things before.,evolution guided machine learning directed human creativity write songs humans want people imagined things ,162
1158,1163,"Wells’s “Men Like Gods” (1923) plants “had been trained and bred to make new and unprecedented secretions, waxes, gums, essential oils and the like, of the most desirable quality”, which could serve as a slightly flowery mission statement for half the companies in this TQ.",wells men like gods plants trained bred make new unprecedented secretions waxes gums essential oils like desirable quality could serve slightly flowery mission statement half companies ,255
1160,1165,"For one thing, their inhabitants engineer themselves, as well as their environments, in a way that eugenicists like Wells saw as entirely unproblematic.",one thing inhabitants engineer well environments way eugenicists like wells saw entirely unproblematic ,149
1161,1166,"It was the treatment of people as means not ends in this way that Aldous Huxley rebelled against in his own contribution to the genre, “Brave New World”(1932).",treatment people means ends way aldous huxley rebelled contribution genre brave new world ,150
1166,1171,"Others ask by what right they might bring an extinction about, what risks they would expose other less dispensable insects to and what sort of informed consent they might possibly get.",others ask right might bring extinction risks would expose less dispensable insects sort informed consent might possibly get ,183
1169,1174,"Some talk of reversing them—of using the tools of their trade to bring back the passenger pigeon, the great auk, the woolly mammoth, the American chestnut and others.",talk reversing using tools trade bring back passenger pigeon great auk woolly mammoth american chestnut others ,163
1172,1177,"Some feel that the results would be a Potemkin creation—new creatures that preserve a mere semblance of what has been lost, rather than restoring its essence.",feel results would potemkin creation new creatures preserve mere semblance lost rather restoring essence ,157
1178,1183,"If you appreciate the conceptual bravura of an organism with no ancestors, or that even discussing such a thing would have seemed insane just 25 years ago, this is staggering.",appreciate conceptual bravura organism ancestors even discussing thing would seemed insane years ago staggering ,170
1180,1185,And life is both already a miracle and the most everyday one.,life already miracle everyday one ,61
1195,1200,"Instead, he found a man enthused.",instead found man enthused ,32
1196,1201,"Vanilla was not just his livelihood but also a cause for ceremony, a provider of solace, a source of stories.",vanilla livelihood also cause ceremony provider solace source stories ,107
1198,1203,"It could bring new subtleties to valued scents, welcome strangeness to a well-loved story.",could bring new subtleties valued scents welcome strangeness well loved story ,89
1200,1205,"But it is also possible that a new appreciation can grow out of that space, a sense of what life is and could be, extended and enriched by new understanding.",also possible new appreciation grow space sense life could extended enriched new understanding ,155
1201,1206,"Think of it as a tune not yet composed, or the catnip scent of a lost flower reimagined and smelled, as if blooming for the first time.",think tune yet composed catnip scent lost flower reimagined smelled blooming first time ,133
1208,1213,"For this reason, in most places in the rich world at least, bivalves intended for sale have to be tested before they go to market.",reason places rich world least bivalves intended sale tested go market ,128
1211,1216,"And Waqass Jawaid, of Queen’s University in Belfast, thinks he has one.One way of screening shellfish is pretty crude.",waqass jawaid queen university belfast thinks one one way screening shellfish pretty crude ,116
1224,1229,"But its greatest advantage may be that, because it can be done on-board ship for an instant result, it shortens the time it takes for shellfish to make it from the seabed to the table.",greatest advantage may done board ship instant result shortens time takes shellfish make seabed table ,182
1225,1230,"WHEN philosophers debate what it is that makes humans unique among animals, they often point to language.",philosophers debate makes humans unique among animals often point language ,104
1226,1231,"Other animals can communicate, of course.",animals communicate course ,40
1228,1233,"Other species can sing (indeed, many birds do so better than a lot of people).",species sing indeed many birds better lot people ,75
1229,1234,"But birdsong, and the song of animals such as whales, has a limited repertoire—and no other animal is known to have developed a musical instrument.Music is strange stuff.",birdsong song animals whales limited repertoire animal known developed musical instrument music strange stuff ,168
1231,1236,"People can, nevertheless, use it to communicate things—especially their emotions.",people nevertheless use communicate things especially emotions ,79
1232,1237,"And when allied with speech in a song, it is one of the most powerful means of communication that humans have.",allied speech song one powerful means communication humans ,109
1240,1245,"For example Vissarion Shebalin, a Russian composer who suffered a stroke to the left hemisphere of his brain in 1953, was able neither to understand speech nor speak after his illness—yet he retained his ability to compose music until his death ten years later.",example vissarion shebalin russian composer suffered stroke left hemisphere brain able neither understand speech speak illness yet retained ability compose music death ten years later ,254
1241,1246,"Conversely, there are one or two cases of people whose musical abilities have been destroyed without detriment to their speech.",conversely one two cases people whose musical abilities destroyed without detriment speech ,126
1250,1255,The fourth is contour (how the melody rises and falls).,fourth contour melody rises falls ,53
1252,1257,The sixth is tempo (the speed at which a melody is played).,sixth tempo speed melody played ,57
1254,1259,Each melody was played twice.,melody played twice ,29
1261,1266,"This time, the possible distinction between the presentations of a melody was that one might be in “marching” time (2/4, to music aficionados) while the other was in “waltz” time (3/4).",time possible distinction presentations melody one might marching time music aficionados waltz time ,167
1268,1273,"In such non-musicians, blood flow to the right hemisphere increased on exposure to music with a lot of harmonic intervals.",non musicians blood flow right hemisphere increased exposure music lot harmonic intervals ,121
1273,1278,"Dr Platel and Dr Baron study people who are “musically illiterate”; that is, they cannot read musical notation.",dr platel dr baron study people musically illiterate cannot read musical notation ,107
1281,1286,That might help to explain why people perceive notes as high and low in the first place.,might help explain people perceive notes high low first place ,88
1288,1293,He asked several hundred young men and women why they felt music to be important in their lives.,asked several hundred young men women felt music important lives ,96
1289,1294,Emotion turned out to be not merely an answer.,emotion turned merely answer ,46
1290,1295,"It was, more or less, the answer.",less answer ,31
1291,1296,Around 70% of both sexes said it was “because it elicits emotions and feelings”.,around sexes said elicits emotions feelings ,74
1297,1302,Happiness causes faster breathing.,happiness causes faster breathing ,34
1307,1312,"While her speech and intellect remained unchanged after the accident, her ability to sing and to recognise once-familiar melodies disappeared.",speech intellect remained unchanged accident ability sing recognise familiar melodies disappeared ,141
1314,1319,A lot has thus been discovered about how music works its magic.,lot thus discovered music works magic ,63
1317,1322,"Because it is hard to do well, it is a way of demonstrating your fitness to be someone's mate.",hard well way demonstrating fitness someone mate ,93
1318,1323,"Singing, or playing a musical instrument, requires fine muscular control.",singing playing musical instrument requires fine muscular control ,71
1321,1326,"And the fact that much music is sung by a lover to his lass (or vice versa) suggests that it is, indeed, a way of showing off.That does not, however, explain why music is so good at creating emotions.",fact much music sung lover lass vice versa suggests indeed way showing however explain music good creating emotions ,194
1322,1327,"When assessing a mate, the last thing you should want is to have your feelings manipulated by the other side.",assessing mate last thing want feelings manipulated side ,108
1324,1329,Stay tuned.,stay tuned ,11
1371,1376,"The broker, Bill Clinton, hosted the chief scientists at the White House.",broker bill clinton hosted chief scientists white house ,71
1372,1377,"Hyperbolic comparisons were made to the Apollo project to land people on the Moon.Unlike Apollo, though, this announcement marked a beginning rather than an end.",hyperbolic comparisons made apollo project land people moon unlike apollo though announcement marked beginning rather end ,159
1380,1385,"Though tinkering directly with the genes of organisms that end up on people’s plates still makes some a bit queasy, that is increasingly unnecessary.",though tinkering directly genes organisms end people plates still makes bit queasy increasingly unnecessary ,148
1388,1393,"He had an idea, but he thought it so obvious he assumed that other, more established minds must surely be working on it.",idea thought obvious assumed established minds must surely working ,118
1389,1394,"It turned out, though, that they were not.",turned though ,40
1401,1406,"But this does not explain where the nucleus and the endoplasmic reticulum came from, and the suggestion that these, too, are somehow remnants of captured prokaryotes stretches credulity, as they resemble no modern free-living creature.",explain nucleus endoplasmic reticulum came suggestion somehow remnants captured prokaryotes stretches credulity resemble modern free living creature ,231
1424,1429,SCIENCE is generally the farthest thing from people's minds when they take in the beauty of a Van Gogh or a Monet.,science generally farthest thing people minds take beauty van gogh monet ,114
1425,1430,"And by the same token, artists rarely consult scientists before painting a canvas.",token artists rarely consult scientists painting canvas ,81
1427,1432,"During the Italian Renaissance, when many of the conventions of western art were first established, what is now called science frequently informed the way that people painted.",italian renaissance many conventions western art first established called science frequently informed way people painted ,173
1428,1433,"And some artists went farther, not only using the new knowledge of geometry and anatomy to improve their art, but also speculating about how and why art was perceived in particular ways.Leonardo da Vinci, that archetypal Renaissance man, conceived of what he called the ten functions of the eye.",artists went farther using new knowledge geometry anatomy improve art also speculating art perceived particular ways leonardo da vinci archetypal renaissance man conceived called ten functions eye ,291
1429,1434,"These were darkness, light, body, colour, shape, location, distance, closeness, motion and rest.",darkness light body colour shape location distance closeness motion rest ,88
1431,1436,Those were bold guesses.,bold guesses ,24
1433,1438,"On top of that, over the past few years, they have discovered ways in which the tricks employed by artists exploit these divisions of labour to create illusions of reality.",top past years discovered ways tricks employed artists exploit divisions labour create illusions reality ,170
1478,1483,"These, of course, moved.",course moved ,22
1495,1500,"This jiggles hydrogen atoms into giving off radio waves that can be turned into a picture of a brain (or, indeed, any other part of a body).",jiggles hydrogen atoms giving radio waves turned picture brain indeed part body ,136
1498,1503,"Dr Zeki and his colleagues asked people to view scenes of fruits, vegetables, animals and landscapes in both their natural colours and in abnormal colours.",dr zeki colleagues asked people view scenes fruits vegetables animals landscapes natural colours abnormal colours ,153
1502,1507,There is also comfort for those who wonder about the aesthetic value of much of modern art.,also comfort wonder aesthetic value much modern art ,91
1506,1511,That simplification surely cannot mean that it is more easily appreciated by simple minds.,simplification surely cannot mean easily appreciated simple minds ,90
1520,1525,"Now, things may be about to get much easier.",things may get much easier ,43
1538,1543,"In 2016 a DeepMind program called AlphaGo defeated Lee Sedol, one of the world’s best players.",deepmind program called alphago defeated lee sedol one world best players ,88
1541,1546,There are thought to be around 10170 legal arrangements of stones on a Go board.,thought around legal arrangements stones go board ,74
1547,1552,And it also turns out that even inexpert humans can learn such tricks by playing around.,also turns even inexpert humans learn tricks playing around ,88
1550,1555,"Rather than describing step by step what they are thinking, players of both games tend to talk in vaguer terms of “intuition” and “what feels right”.",rather describing step step thinking players games tend talk vaguer terms intuition feels right ,144
1552,1557,"By feeding computers enough examples, they are able to learn and apply shortcuts and rules-of-thumb of the sort that human beings also exploit, but struggle to articulate.",feeding computers enough examples able learn apply shortcuts rules thumb sort human beings also exploit struggle articulate ,169
1555,1560,"[AlphaFold 2] has decided that if you don’t get the details right, you won’t get the big things right.",alphafold decided get details right get big things right ,98
1556,1561,"This is a school of thought that’s been around for some time, but I thought it wasn’t correct.”As an achievement in AI, AlphaFold 2 is not quite so far ahead of the field as was AlphaGo.",school thought around time thought correct achievement ai alphafold quite far ahead field alphago ,181
1593,1598,"It would look, he jokes, a bit like a bacterial disco.",would look jokes bit like bacterial disco ,52
1596,1601,"Now that Algeria’s President Abdelaziz Bouteflika has resigned, the real battle to overhaul the system begins (9:24).",algeria president abdelaziz bouteflika resigned real battle overhaul system begins ,109
1597,1602,"And, where a rejuvenated Tiger Woods ranks on The Economist’s forecast for the golf Masters (14.58).",rejuvenated tiger woods ranks economist forecast golf masters ,91
1599,1604,FEW have heard of the mesopelagic.,heard mesopelagic ,34
1601,1606,But it is home to animals in abundance.,home animals abundance ,39
1602,1607,There are bristlemouths: finger-sized fish with gaping maws that sport arrays of needle-like teeth.,bristlemouths finger sized fish gaping maws sport arrays needle like teeth ,98
1605,1610,"They build gelatinous houses several times their body-size, to filter food from the water.",build gelatinous houses several times body size filter food water ,89
1607,1612,"They have luminescent spotlamps which project beams of red light that they can see, but their prey cannot.",luminescent spotlamps project beams red light see prey cannot ,105
1608,1613,There are even squid and swordfish—creatures at least familiar from the fishmonger’s slab.And soon there will be nets.,even squid swordfish creatures least familiar fishmonger slab soon nets ,118
1609,1614,"Having pillaged shallower waters, the world’s fishing powers are looking to the mesopelagic as a new frontier.",pillaged shallower waters world fishing powers looking mesopelagic new frontier ,109
1610,1615,The UN’s Food and Agriculture Organisation reported in 2002 that the fish-meal and fish-oil industries would need to exploit this part of the ocean in order to feed fish farms.,un food agriculture organisation reported fish meal fish oil industries would need exploit part ocean order feed fish farms ,171
1611,1616,In the past nine months Norway has issued 46 new licences for vessels to fish there.,past nine months norway issued new licences vessels fish ,81
1612,1617,"In September the government of Sindh, a province that is home to most of Pakistan’s fishing fleet, issued a draft policy on licensing mesopelagic fishing in its waters.",september government sindh province home pakistan fishing fleet issued draft policy licensing mesopelagic fishing waters ,166
1615,1620,Cropping a mere 1% of this each year would double the landed catch of the ocean’s fisheries.,cropping mere year would double landed catch ocean fisheries ,89
1617,1622,"But fish farmers and meal merchants would lap it up.The mesopelagic also, however, acts as a carbon pump.",fish farmers meal merchants would lap mesopelagic also however acts carbon pump ,103
1621,1626,"Its inhabitants are in a state of perpetual migration, rising to the surface at night to feed, then returning to depths of between 200 metres and 1km at dawn, to escape predation.",inhabitants state perpetual migration rising surface night feed returning depths metres km dawn escape predation ,171
1623,1628,"The nocturnal feasting consumes prodigious amounts of that climate-changing element in the form of small, planktonic creatures.",nocturnal feasting consumes prodigious amounts climate changing element form small planktonic creatures ,126
1624,1629,"Then, during the day, the feasters release part of what they have consumed as faeces.",day feasters release part consumed faeces ,83
1625,1630,Some of them also die.,also die ,22
1626,1631,"These faeces and bodies fall through the water column as what is known as marine snow, and accumulate at the bottom.",faeces bodies fall water column known marine snow accumulate bottom ,115
