,Unnamed: 0,Text,cleaned_text,len
443,445,"The result was declared a dead heat and both runners won the prize of shaking the hand of America's then president, Bill Clinton, at the White House.",the result was declared a dead heat and both runners won the prize of shaking the hand of america s then president bill clinton at the white house ,147
450,452,"And there was, in some quarters, a hope that a biotech boom based on genomics might pick up the baton that the internet boom had just dropped, and that lots and lots of money would be made.And then it all went terribly quiet.",and there was in some quarters a hope that a biotech boom based on genomics might pick up the baton that the internet boom had just dropped and that lots and lots of money would be made and then it all went terribly quiet ,222
454,456,And the money certainly did not materialise.,and the money certainly did not materialise ,44
456,458,"The casual observer, then, might be forgiven for thinking the whole thing a damp squib, and the $3 billion spent on the project to be so much wasted money.",the casual observer then might be forgiven for thinking the whole thing a damp squib and the billion spent on the project to be so much wasted money ,149
457,459,But the casual observer would be wrong.,but the casual observer would be wrong ,39
479,481,Yet it now looks tractable in a way that 20 years ago it did not.,yet it now looks tractable in a way that years ago it did not ,62
496,498,Nor is that the end of the story.,nor is that the end of the story ,33
527,529,Suddenly everything made sense—so much sense that it took only another 13 years to build an atomic bomb.It is probably no exaggeration to say that biology is now undergoing its “neutron moment”.,suddenly everything made sense so much sense that it took only another years to build an atomic bomb it is probably no exaggeration to say that biology is now undergoing its neutron moment ,189
538,540,"It is a feeling of advancing into the unknown, and that where this advance will lead is both exciting and mysterious.As Samuel Goldwyn so wisely advised, never make predictions—especially about the future.",it is a feeling of advancing into the unknown and that where this advance will lead is both exciting and mysterious as samuel goldwyn so wisely advised never make predictions especially about the future ,203
539,541,"But here is one: the analogy between 20th-century physics and 21st-century biology will continue, for both good and ill. Physics gave two things to the 20th century.",but here is one the analogy between th century physics and st century biology will continue for both good and ill physics gave two things to the th century ,156
546,548,And it is not merely that such things are now possible.,and it is not merely that such things are now possible ,55
553,555,But it is not hard to imagine such tools.,but it is not hard to imagine such tools ,41
560,562,But physics gave the 20th century a more subtle boon than mere power.,but physics gave the th century a more subtle boon than mere power ,67
561,563,It also brought an understanding of the vastness of the universe and humanity's insignificant place in it.,it also brought an understanding of the vastness of the universe and humanity s insignificant place in it ,106
562,564,"It allowed people, in William Blake's phrase, to hold infinity in the palm of a hand, and eternity in an hour.Biology, though, does more than describe humanity's place in the universe.",it allowed people in william blake s phrase to hold infinity in the palm of a hand and eternity in an hour biology though does more than describe humanity s place in the universe ,179
563,565,It describes humanity itself.,it describes humanity itself ,29
573,575,But that is the point.,but that is the point ,22
574,576,"Lord Rutherford, who proved that atoms exist, knew nothing of neutrons.",lord rutherford who proved that atoms exist knew nothing of neutrons ,69
577,579,"But eventually, the truth will out.",but eventually the truth will out ,34
578,580,Big is beautiful.,big is beautiful ,17
584,586,But so 20th century.,but so th century ,18
595,597,"The junk was, well, junk.How wrong they were.",the junk was well junk how wrong they were ,43
616,618,This ended up doing about a third of the work.,this ended up doing about a third of the work ,46
618,620,But they reckoned without the efforts of the man who would become the project’s disruptive-innovator-in-chief—Craig Venter.,but they reckoned without the efforts of the man who would become the project s disruptive innovator in chief craig venter ,123
624,626,"But what particularly horrified people was the patenting.After its own early foray in that direction, the NIH had by now changed tack.",but what particularly horrified people was the patenting after its own early foray in that direction the nih had by now changed tack ,133
627,629,"“I believe”, he said, “our basic information, our ‘software’ [meaning the genome], should be free and open for everyone to play with, to compete with, to try and make products from…Craig has gone morally wrong.”The gloves were now off.", i believe he said our basic information our software meaning the genome should be free and open for everyone to play with to compete with to try and make products from craig has gone morally wrong the gloves were now off ,222
631,633,"In a deal brokered by Ari Patrinos, head of the DoE’s side of the project, Dr Collins and Dr Venter shook hands under the benign gaze of Bill Clinton at the White House on June 26th 2000, and the race was declared a dead heat.",in a deal brokered by ari patrinos head of the doe s side of the project dr collins and dr venter shook hands under the benign gaze of bill clinton at the white house on june th and the race was declared a dead heat ,216
634,636,"Champagne corks popped and everyone celebrated.You can, though, celebrate finishing something only once.",champagne corks popped and everyone celebrated you can though celebrate finishing something only once ,102
636,638,"And, in truth, even then it wasn’t.",and in truth even then it wasn t ,33
643,645,And even that was not the actual end.,and even that was not the actual end ,37
645,647,But the captains and the kings departed long ago.,but the captains and the kings departed long ago ,49
647,649,"In 2007, and again in 2019, the former made some appalling public remarks about genetics, intelligence and black people, and is pretty much shunned as a result.",in and again in the former made some appalling public remarks about genetics intelligence and black people and is pretty much shunned as a result ,146
652,654,Perhaps no one will.,perhaps no one will ,20
679,681,And one other thing.,and one other thing ,20
684,686,That has not happened so far.,that has not happened so far ,29
685,687,"If anything things have gone in the opposite direction, with legislation in some places banning discrimination by insurance firms based on the most obvious genetic distinction of all, that between males and females.Another fear was that genetic knowledge might lead to tinkering for enhancement not just of crops and animals, but of human beings.",if anything things have gone in the opposite direction with legislation in some places banning discrimination by insurance firms based on the most obvious genetic distinction of all that between males and females another fear was that genetic knowledge might lead to tinkering for enhancement not just of crops and animals but of human beings ,343
686,688,"When somebody actually tried to do this, though, in 2018 in China, the roof fell in on him.",when somebody actually tried to do this though in in china the roof fell in on him ,83
687,689,"He was excoriated by the world’s scientists, and imprisoned by his country’s government.A third worry was that a project which, for obvious reasons, was conducted in a bunch of rich countries, would fail to benefit poorer parts of the world.",he was excoriated by the world s scientists and imprisoned by his country s government a third worry was that a project which for obvious reasons was conducted in a bunch of rich countries would fail to benefit poorer parts of the world ,237
690,692,The hope is thereby to ask questions the answers to which relate more to Africa than to the rest of the world.,the hope is thereby to ask questions the answers to which relate more to africa than to the rest of the world ,110
691,694,It touches everything.,it touches everything ,22
692,695,"And with that, the ambitions for their subject of those biological prophets of the 1980s are being fulfilled in a manner they could scarcely have dreamed of.",and with that the ambitions for their subject of those biological prophets of the s are being fulfilled in a manner they could scarcely have dreamed of ,152
758,762,Three-quarters of the cost of developing a successful drug goes to paying for all the failed hypotheses and blind alleys pursued along the way.,three quarters of the cost of developing a successful drug goes to paying for all the failed hypotheses and blind alleys pursued along the way ,143
763,767,That has made drug companies sit up.,that has made drug companies sit up ,36
810,814,But the marriage will experience some turbulent times before achieving the full flowering of its promise.,but the marriage will experience some turbulent times before achieving the full flowering of its promise ,105
814,818,"But because such ideas are confined to the realm of the invisibly tiny or the inhumanly vast, most people regard them as little more than diverting curiosities.Biology has mind-bending ideas, too.",but because such ideas are confined to the realm of the invisibly tiny or the inhumanly vast most people regard them as little more than diverting curiosities biology has mind bending ideas too ,194
822,826,"But it is right to wonder what might have happened if they had—and what should be done if, or when, someone decides to try.",but it is right to wonder what might have happened if they had and what should be done if or when someone decides to try ,121
828,832,"But it should also be encouraged, because the rewards it brings could turn out to be significant.",but it should also be encouraged because the rewards it brings could turn out to be significant ,96
846,850,"And it is a thicket of limits on how long lives can last and how much life can accomplish.It is also a way of packing 3,500 excited young people into the Hynes Convention Centre in Boston, Massachusetts.",and it is a thicket of limits on how long lives can last and how much life can accomplish it is also a way of packing excited young people into the hynes convention centre in boston massachusetts ,196
890,894,Rarely has science offered such a heady scent of Goddishness—with forbidden-fruit undertones of Frankenstein and Faust—and raised so many ethical dilemmas.,rarely has science offered such a heady scent of goddishness with forbidden fruit undertones of frankenstein and faust and raised so many ethical dilemmas ,155
898,902,"Worse, the oil price fell steeply.",worse the oil price fell steeply ,33
903,907,It seems an auspicious omen.,it seems an auspicious omen ,28
912,916,The price of a gene synthesised to order is about a thousandth of what it was in 2000; if you buy in bulk or have the technology in-house it can cost a lot less.And then there is machine learning.,the price of a gene synthesised to order is about a thousandth of what it was in if you buy in bulk or have the technology in house it can cost a lot less and then there is machine learning ,190
933,937,And no one knows how long it will take the projects to pay off.,and no one knows how long it will take the projects to pay off ,63
1005,1010,"Seeing brilliant metabolic engineering fail to make a business led him and his co-founders at Zymergen, a company based in Emeryville, California, to take their new company in a different direction.",seeing brilliant metabolic engineering fail to make a business led him and his co founders at zymergen a company based in emeryville california to take their new company in a different direction ,195
1006,1011,They would not try to manufacture or sell things.,they would not try to manufacture or sell things ,49
1026,1031,"All of them see their current business-to-business approach as a stepping stone, a way of honing their techniques, teaching their machine-learning programs and bringing in cash as they develop products of their own.",all of them see their current business to business approach as a stepping stone a way of honing their techniques teaching their machine learning programs and bringing in cash as they develop products of their own ,213
1036,1041,That has not sated its appetite.,that has not sated its appetite ,32
1060,1065,"There are things going on in a lab that experimenters do not notice, but the creatures they experiment on do.",there are things going on in a lab that experimenters do not notice but the creatures they experiment on do ,108
1072,1077,It is by no means clear what each of them does.,it is by no means clear what each of them does ,47
1075,1080,"A couple of blocks away from Zymergen a startup called Bolt Threads supplies the rag trade, and its own clothing subsidiary, with threads made of proteins from spider silk, and leather from fungal mycelia.",a couple of blocks away from zymergen a startup called bolt threads supplies the rag trade and its own clothing subsidiary with threads made of proteins from spider silk and leather from fungal mycelia ,202
1076,1081,"As well as being able to explore new physical properties for such materials and, in principle, make them more cheaply, it is also able to offer them to people who object to having silk worms boiled and cattle skinned for their finery.",as well as being able to explore new physical properties for such materials and in principle make them more cheaply it is also able to offer them to people who object to having silk worms boiled and cattle skinned for their finery ,231
1083,1088,"He hears of company founders who are basically trying to make mince, he says, which is a cheap product with which to compete.",he hears of company founders who are basically trying to make mince he says which is a cheap product with which to compete ,123
1084,1089,To earn money they will have to make a lot of hamburgers.,to earn money they will have to make a lot of hamburgers ,57
1085,1090,"That said, at least one company is working on synthetic foie gras, which might reduce the suffering of geese and sell at a luxurious price.With food and fabric already covered, and many of the existing 5m proteins still unexplored, it may be hard to imagine why anyone should want more proteins.",that said at least one company is working on synthetic foie gras which might reduce the suffering of geese and sell at a luxurious price with food and fabric already covered and many of the existing m proteins still unexplored it may be hard to imagine why anyone should want more proteins ,290
1120,1125,"But once it was done, the value was obvious.",but once it was done the value was obvious ,43
1138,1143,You could put everything that happened in a century into a single warehouse and expect it to last fundamentally uncorrupted for thousands of years.,you could put everything that happened in a century into a single warehouse and expect it to last fundamentally uncorrupted for thousands of years ,147
1158,1163,"Wells’s “Men Like Gods” (1923) plants “had been trained and bred to make new and unprecedented secretions, waxes, gums, essential oils and the like, of the most desirable quality”, which could serve as a slightly flowery mission statement for half the companies in this TQ.",wells s men like gods plants had been trained and bred to make new and unprecedented secretions waxes gums essential oils and the like of the most desirable quality which could serve as a slightly flowery mission statement for half the companies in this t,255
1160,1165,"For one thing, their inhabitants engineer themselves, as well as their environments, in a way that eugenicists like Wells saw as entirely unproblematic.",for one thing their inhabitants engineer themselves as well as their environments in a way that eugenicists like wells saw as entirely unproblematic ,149
1161,1166,"It was the treatment of people as means not ends in this way that Aldous Huxley rebelled against in his own contribution to the genre, “Brave New World”(1932).",it was the treatment of people as means not ends in this way that aldous huxley rebelled against in his own contribution to the genre brave new world ,150
1166,1171,"Others ask by what right they might bring an extinction about, what risks they would expose other less dispensable insects to and what sort of informed consent they might possibly get.",others ask by what right they might bring an extinction about what risks they would expose other less dispensable insects to and what sort of informed consent they might possibly get ,183
1169,1174,"Some talk of reversing them—of using the tools of their trade to bring back the passenger pigeon, the great auk, the woolly mammoth, the American chestnut and others.",some talk of reversing them of using the tools of their trade to bring back the passenger pigeon the great auk the woolly mammoth the american chestnut and others ,163
1171,1176,"In a small gesture in this direction, Ginkgo has made a scent that smells of a type of hibiscus that is now extinct.This idea, too, meets with scepticism, even repugnance.",in a small gesture in this direction ginkgo has made a scent that smells of a type of hibiscus that is now extinct this idea too meets with scepticism even repugnance ,167
1172,1177,"Some feel that the results would be a Potemkin creation—new creatures that preserve a mere semblance of what has been lost, rather than restoring its essence.",some feel that the results would be a potemkin creation new creatures that preserve a mere semblance of what has been lost rather than restoring its essence ,157
1179,1184,"If you do not, such synthetic life seems just to be, well, more life.",if you do not such synthetic life seems just to be well more life ,66
1180,1185,And life is both already a miracle and the most everyday one.,and life is both already a miracle and the most everyday one ,61
1187,1192,"But today an Indian cooking with chilli, or a German smoking a pipe of tobacco, or a Mexican admiring a mustang running free give little thought to the alien biology they are using and appreciating.",but today an indian cooking with chilli or a german smoking a pipe of tobacco or a mexican admiring a mustang running free give little thought to the alien biology they are using and appreciating ,196
1195,1200,"Instead, he found a man enthused.",instead he found a man enthused ,32
1196,1201,"Vanilla was not just his livelihood but also a cause for ceremony, a provider of solace, a source of stories.",vanilla was not just his livelihood but also a cause for ceremony a provider of solace a source of stories ,107
1198,1203,"It could bring new subtleties to valued scents, welcome strangeness to a well-loved story.",it could bring new subtleties to valued scents welcome strangeness to a well loved story ,89
1200,1205,"But it is also possible that a new appreciation can grow out of that space, a sense of what life is and could be, extended and enriched by new understanding.",but it is also possible that a new appreciation can grow out of that space a sense of what life is and could be extended and enriched by new understanding ,155
1201,1206,"Think of it as a tune not yet composed, or the catnip scent of a lost flower reimagined and smelled, as if blooming for the first time.",think of it as a tune not yet composed or the catnip scent of a lost flower reimagined and smelled as if blooming for the first time ,133
1208,1213,"For this reason, in most places in the rich world at least, bivalves intended for sale have to be tested before they go to market.",for this reason in most places in the rich world at least bivalves intended for sale have to be tested before they go to market ,128
1211,1216,"And Waqass Jawaid, of Queen’s University in Belfast, thinks he has one.One way of screening shellfish is pretty crude.",and waqass jawaid of queen s university in belfast thinks he has one one way of screening shellfish is pretty crude ,116
1224,1229,"But its greatest advantage may be that, because it can be done on-board ship for an instant result, it shortens the time it takes for shellfish to make it from the seabed to the table.",but its greatest advantage may be that because it can be done on board ship for an instant result it shortens the time it takes for shellfish to make it from the seabed to the table ,182
1228,1233,"Other species can sing (indeed, many birds do so better than a lot of people).",other species can sing indeed many birds do so better than a lot of people ,75
1229,1234,"But birdsong, and the song of animals such as whales, has a limited repertoire—and no other animal is known to have developed a musical instrument.Music is strange stuff.",but birdsong and the song of animals such as whales has a limited repertoire and no other animal is known to have developed a musical instrument music is strange stuff ,168
1231,1236,"People can, nevertheless, use it to communicate things—especially their emotions.",people can nevertheless use it to communicate things especially their emotions ,79
1240,1245,"For example Vissarion Shebalin, a Russian composer who suffered a stroke to the left hemisphere of his brain in 1953, was able neither to understand speech nor speak after his illness—yet he retained his ability to compose music until his death ten years later.",for example vissarion shebalin a russian composer who suffered a stroke to the left hemisphere of his brain in was able neither to understand speech nor speak after his illness yet he retained his ability to compose music until his death ten years later ,254
1241,1246,"Conversely, there are one or two cases of people whose musical abilities have been destroyed without detriment to their speech.",conversely there are one or two cases of people whose musical abilities have been destroyed without detriment to their speech ,126
1250,1255,The fourth is contour (how the melody rises and falls).,the fourth is contour how the melody rises and falls ,53
1252,1257,The sixth is tempo (the speed at which a melody is played).,the sixth is tempo the speed at which a melody is played ,57
1254,1259,Each melody was played twice.,each melody was played twice ,29
1259,1264,"In addition, those subjects who had had another part of the lobe, known as Heschl's gyrus, removed, had difficulty—regardless of whether it was the left or the right Heschl's gyrus that was missing—in identifying variations in pitch.",in addition those subjects who had had another part of the lobe known as heschl s gyrus removed had difficulty regardless of whether it was the left or the right heschl s gyrus that was missing in identifying variations in pitch ,229
1261,1266,"This time, the possible distinction between the presentations of a melody was that one might be in “marching” time (2/4, to music aficionados) while the other was in “waltz” time (3/4).",this time the possible distinction between the presentations of a melody was that one might be in marching time to music aficionados while the other was in waltz time ,167
1267,1272,"Their subjects were a mixture of musicians (defined as people who knew how to play at least two musical instruments) and non-musicians (defined as people who had never played an instrument, and did not listen regularly to music).Once again, there was a bias towards the right hemisphere—at least among those with no musical training.",their subjects were a mixture of musicians defined as people who knew how to play at least two musical instruments and non musicians defined as people who had never played an instrument and did not listen regularly to music once again there was a bias towards the right hemisphere at least among those with no musical training ,327
1269,1274,"(The researchers picked a 16th-century madrigal whose words were in Latin, a language chosen because it was not spoken by any of the participants, and so would not activate speech processing.)", the researchers picked a th century madrigal whose words were in latin a language chosen because it was not spoken by any of the participants and so would not activate speech processing ,187
1282,1287,"(By comparison, most people have no sense that blue light is “higher” than red light, even though blue light has a shorter wavelength than red.", by comparison most people have no sense that blue light is higher than red light even though blue light has a shorter wavelength than red ,139
1288,1293,He asked several hundred young men and women why they felt music to be important in their lives.,he asked several hundred young men and women why they felt music to be important in their lives ,96
1289,1294,Emotion turned out to be not merely an answer.,emotion turned out to be not merely an answer ,46
1290,1295,"It was, more or less, the answer.",it was more or less the answer ,31
1291,1296,Around 70% of both sexes said it was “because it elicits emotions and feelings”.,around of both sexes said it was because it elicits emotions and feelings ,74
1298,1303,"So, by playing pieces ranging from Mussorgsky's “Night on the Bare Mountain” to Vivaldi's “Spring” to her wired-up subjects, Dr Krumhansl was able to test musical conventions about which emotions are associated with which musical structures.",so by playing pieces ranging from mussorgsky s night on the bare mountain to vivaldi s spring to her wired up subjects dr krumhansl was able to test musical conventions about which emotions are associated with which musical structures ,235
1307,1312,"While her speech and intellect remained unchanged after the accident, her ability to sing and to recognise once-familiar melodies disappeared.",while her speech and intellect remained unchanged after the accident her ability to sing and to recognise once familiar melodies disappeared ,141
1308,1313,"Remarkably, though, she claimed she could still enjoy music.",remarkably though she claimed she could still enjoy music ,58
1314,1319,A lot has thus been discovered about how music works its magic.,a lot has thus been discovered about how music works its magic ,63
1317,1322,"Because it is hard to do well, it is a way of demonstrating your fitness to be someone's mate.",because it is hard to do well it is a way of demonstrating your fitness to be someone s mate ,93
1320,1325,Getting those notes right once you have remembered them suggests a player's hearing is in top condition.,getting those notes right once you have remembered them suggests a player s hearing is in top condition ,104
1321,1326,"And the fact that much music is sung by a lover to his lass (or vice versa) suggests that it is, indeed, a way of showing off.That does not, however, explain why music is so good at creating emotions.",and the fact that much music is sung by a lover to his lass or vice versa suggests that it is indeed a way of showing off that does not however explain why music is so good at creating emotions ,194
1322,1327,"When assessing a mate, the last thing you should want is to have your feelings manipulated by the other side.",when assessing a mate the last thing you should want is to have your feelings manipulated by the other side ,108
1388,1393,"He had an idea, but he thought it so obvious he assumed that other, more established minds must surely be working on it.",he had an idea but he thought it so obvious he assumed that other more established minds must surely be working on it ,118
1389,1394,"It turned out, though, that they were not.",it turned out though that they were not ,40
1401,1406,"But this does not explain where the nucleus and the endoplasmic reticulum came from, and the suggestion that these, too, are somehow remnants of captured prokaryotes stretches credulity, as they resemble no modern free-living creature.",but this does not explain where the nucleus and the endoplasmic reticulum came from and the suggestion that these too are somehow remnants of captured prokaryotes stretches credulity as they resemble no modern free living creature ,231
1413,1418,"But perhaps there is, even now, an insomniac undergrad out there who is working on it.",but perhaps there is even now an insomniac undergrad out there who is working on it ,84
1424,1429,SCIENCE is generally the farthest thing from people's minds when they take in the beauty of a Van Gogh or a Monet.,science is generally the farthest thing from people s minds when they take in the beauty of a van gogh or a monet ,114
1426,1431,But it was not always so.,but it was not always so ,25
1427,1432,"During the Italian Renaissance, when many of the conventions of western art were first established, what is now called science frequently informed the way that people painted.",during the italian renaissance when many of the conventions of western art were first established what is now called science frequently informed the way that people painted ,173
1428,1433,"And some artists went farther, not only using the new knowledge of geometry and anatomy to improve their art, but also speculating about how and why art was perceived in particular ways.Leonardo da Vinci, that archetypal Renaissance man, conceived of what he called the ten functions of the eye.",and some artists went farther not only using the new knowledge of geometry and anatomy to improve their art but also speculating about how and why art was perceived in particular ways leonardo da vinci that archetypal renaissance man conceived of what he called the ten functions of the eye ,291
1429,1434,"These were darkness, light, body, colour, shape, location, distance, closeness, motion and rest.",these were darkness light body colour shape location distance closeness motion and rest ,88
